ENTIDAD_RES,MUNICIPIO_RES,Area,Poblacion,Hombres,Mujeres,Densidad de población
2,1,19346,466814,235130,231684,24.12974258
2,2,13700,936826,473203,463623,68.38145985
2,3,3979,101079,53323,47756,25.40311636
2,4,879.2,1559683,783653,776030,1773.979754
2,5,513.32,90668,46301,44367,176.6305618
2,6,32883.93,0,0,0,0
8,1,16918.88,11457,5852,5605,0.677172484
8,2,9232.76,22302,11099,11203,2.415529051
8,3,2176.39,8409,4258,4151,3.863737657
8,4,495.79,10688,6272,4416,21.55751427
8,5,12874.15,23975,12207,11768,1.862258868
8,6,935.34,6011,3074,2937,6.426540082
8,7,5376.1,17672,8980,8692,3.287141236
8,8,2137.93,14362,7297,7065,6.717712928
8,9,2710.11,28766,14147,14619,10.61432931
8,10,7886.63,22378,11287,11091,2.83746036
8,11,13731.6,48748,24032,24716,3.550059716
8,12,2589.47,8795,4403,4392,3.396447922
8,13,3741.65,10587,5380,5207,2.829500354
8,14,1884.56,2284,1184,1100,1.211953984
8,15,11640.77,1681,917,764,0.144406255
8,16,1056.45,3982,2043,1939,3.769227129
8,17,3614.07,154639,75936,78703,42.78804782
8,18,1608.37,5414,2812,2602,3.366140876
8,19,8384.37,819543,399495,420048,97.74652121
8,20,1982.34,8441,4448,3993,4.258099014
8,21,534.93,137935,68013,69922,257.8561681
8,22,1034.34,2911,1478,1433,2.814355048
8,23,1683.97,5892,2941,2951,3.498874683
8,24,672.65,3937,1979,1958,5.852969598
8,25,854,8624,4295,4329,10.09836066
8,26,483.21,3209,1655,1554,6.641004946
8,27,6962.03,49689,24624,25065,7.137142471
8,28,5988.23,6458,3243,3215,1.078448891
8,29,9629.05,53499,27053,26446,5.555999813
8,30,1796.67,8998,4600,4398,5.008153974
8,31,5718.74,39626,19912,19714,6.929148729
8,32,1920.92,107061,51883,55178,55.73423151
8,33,858.09,1049,522,527,1.22248249
8,34,2862.73,6934,3534,3400,2.422163459
8,35,7426.36,10953,5727,5226,1.474881369
8,36,10775.17,41265,20564,20701,3.829637955
8,37,3561.14,1332131,665691,666440,374.0743133
8,38,4123.68,4953,2553,2400,1.201111628
8,39,1312.9,4025,2101,1924,3.065732348
8,40,8763.04,29611,14969,14642,3.379078493
8,41,1012.16,1921,994,927,1.897921277
8,42,5030.6,1601,871,730,0.318252296
8,43,705.82,3104,1578,1526,4.397721799
8,44,1179.19,4499,2293,2206,3.815330863
8,45,429.12,43833,21930,21903,102.1462528
8,46,2173.77,8343,4285,4058,3.838032543
8,47,1805.36,5312,2775,2537,2.942349448
8,48,4880.84,22880,11630,11250,4.687717688
8,49,2004.83,2849,1479,1370,1.42106812
8,50,2647.43,59337,29058,30279,22.41305719
8,51,1810.22,7546,3935,3611,4.168554098
8,52,6796.48,26304,13290,13014,3.870238712
8,53,373.51,4799,2433,2366,12.84838425
8,54,2258.99,8012,4076,3936,3.546717781
8,55,1921.02,16785,8526,8259,8.737545679
8,56,1171.25,2235,1131,1104,1.908217716
8,57,1319.27,2290,1183,1107,1.73580844
8,58,877.18,2983,1549,1434,3.40067033
8,59,479.46,4753,2399,2354,9.913235724
8,60,347.89,10427,5183,5244,29.97211762
8,61,3565.39,3662,1908,1754,1.027096615
8,62,3044.81,32325,16275,16050,10.61642598
8,63,4273.83,6211,3216,2995,1.453263232
8,64,469.68,1869,960,909,3.979305059
8,65,3326.47,20386,10342,10044,6.128418414
8,66,2656.96,8200,4150,4050,3.086233891
8,67,2954.26,5105,2636,2469,1.728013106
5,1,742.99,1070,531,539,1.440127054
5,2,11467.84,136755,68350,68405,11.9250879
5,3,251.55,22675,11114,11561,90.14112502
5,4,1648.96,22544,11540,11004,13.67164758
5,5,2120.04,1808,939,869,0.852814098
5,6,3341.55,25892,12945,12947,7.748499948
5,7,10669.8,13013,6565,6448,1.219610489
5,8,1025.78,2901,1475,1426,2.828091794
5,9,2764.57,55676,27739,27937,20.13911748
5,10,456.22,75215,37561,37654,164.865635
5,11,2641.8,11682,6071,5611,4.42198501
5,12,2927.49,2091,1115,976,0.714263755
5,13,1129.51,1852,955,897,1.639649051
5,14,2200.98,9935,5041,4894,4.513898354
5,15,2458.15,1599,827,772,0.650489189
5,16,673.5,1835,941,894,2.724573125
5,17,806.17,107160,53353,53807,132.9248173
5,18,1251.32,216206,107401,108805,172.7823418
5,19,639.49,8207,4095,4112,12.83366433
5,20,8289.58,66834,33465,33369,8.062410882
5,21,716.68,6335,3186,3149,8.83937043
5,22,908.1,27928,14237,13691,30.75432221
5,23,26053.42,10991,5652,5339,0.421864001
5,24,10523.86,45401,23062,22339,4.31410148
5,25,474.56,152806,76404,76402,321.9951113
5,26,2886.87,3473,1774,1699,1.203033043
5,27,6769.52,75461,38302,37159,11.14717144
5,28,1976.35,60847,30247,30600,30.78756293
5,29,289.62,2314,1175,1139,7.989779711
5,30,5652.98,725123,359366,365757,128.2726986
5,31,6444.62,22149,11044,11105,3.436820169
5,32,803.04,41649,20502,21147,51.86416617
5,33,7174.48,102650,51393,51257,14.30765714
5,34,7920.54,6375,3306,3069,0.804869365
5,35,1255.98,639629,312135,327494,509.2668673
5,36,4409.96,21319,10762,10557,4.834284211
5,37,1855.48,6289,3217,3072,3.389419449
5,38,7939.19,12702,6410,6292,1.599911326
11,1,614.56,84332,40281,44051,137.2233793
11,2,877.43,109030,51803,57227,124.2606248
11,3,1558.96,160383,75878,84505,102.8782009
11,4,375.87,64433,31177,33256,171.4236305
11,5,419.39,85319,41038,44281,203.4359427
11,6,322.27,5610,2748,2862,17.40776368
11,7,553.23,468469,225024,243445,846.7888582
11,8,819.83,37145,17546,19599,45.30817365
11,9,485.39,77794,36430,41364,160.2711222
11,10,123.83,11691,5462,6229,94.41169345
11,11,334.2,88397,42650,45747,264.5032914
11,12,260.22,27308,13071,14237,104.9419722
11,13,230.9,23324,11129,12195,101.0134257
11,14,1656.18,148173,69891,78282,89.46672463
11,15,1014.54,171709,82830,88879,169.2481322
11,16,127.52,20117,9421,10696,157.7556462
11,17,851.41,529440,254784,274656,621.839067
11,18,176.56,36584,17661,18923,207.2043498
11,19,883.4,50832,23555,27277,57.54131764
11,20,1220.38,1436480,701781,734699,1177.075993
11,21,139.02,49364,23282,26082,355.0855992
11,22,1026.04,22683,10870,11813,22.10732525
11,23,1561.25,149936,70551,79385,96.03586869
11,24,60.08,11169,5201,5968,185.9021305
11,25,290.41,68795,33782,35013,236.8892256
11,26,441.26,56655,27274,29381,128.3936908
11,27,756.54,260732,126354,134378,344.6374283
11,28,592.43,97054,45885,51169,163.8235741
11,29,1014.47,37103,17286,19817,36.57377744
11,30,3006.79,106952,51340,55612,35.57015954
11,31,425.98,113570,55026,58544,266.608761
11,32,547.97,72411,34637,37774,132.1440955
11,33,2029.97,115656,54726,60930,56.974241
11,34,194.37,5120,2401,2719,26.34151361
11,35,428.51,79214,37921,41293,184.8591631
11,36,84.13,6670,3111,3559,79.28206347
11,37,538.72,173024,83948,89076,321.1761212
11,38,119.98,11641,5511,6130,97.02450408
11,39,333.99,35571,16975,18596,106.5031887
11,40,410.85,18175,8765,9410,44.23755629
11,41,145.76,59305,28331,30974,406.8674533
11,42,820.66,141058,66846,74212,171.8836059
11,43,1047.06,19820,9365,10455,18.92919221
11,44,128.79,55782,26905,28877,433.1236897
11,45,898.96,11560,5534,6026,12.85930408
