ENTIDAD_RES,MUNICIPIO_RES,codigo_Postal,coordenada_lateral,coordenada_longitudinal,altitud
1,1,20170,21.879823,-102.296047,1878
1,2,20730,21.78255,-102.466863,1909
1,3,20832,21.92249,-102.334772,1854
1,4,20460,21.951039,-102.154189,2043
1,5,20909,21.824136,-102.187974,1959
1,6,20687,21.918869,-101.965307,2031
1,7,20436,21.934779,-102.023958,2028
1,8,20578,21.958919,-102.275712,1912
1,9,20656,21.955978,-102.249735,2001
1,10,20336,22.072393,-102.272678,1890
1,11,20303,22.194395,-102.018849,2006
2,1,22819,21.846907,-102.718751,1632
2,2,21290,21.961273,-102.343416,1878
2,3,21450,22.315824,-102.219239,1940
2,4,22106,22.229233,-102.323069,1952
2,5,22706,25.494426,-103.595815,1141
3,1,23789,25.491826,-103.690813,1156
3,2,23930,25.536552,-103.524849,1132
3,3,23085,25.889745,-103.624464,1122
3,8,23456,22.444819,-104.394148,993
3,9,23884,22.612379,-104.965031,1517
4,1,24904,22.588193,-104.513584,648
4,2,24035,22.524652,-104.493128,589
4,3,24323,23.010524,-104.301586,2699
4,4,24459,22.864651,-104.510763,2320
4,5,24810,22.734253,-104.461933,1472
4,6,24665,22.769773,-104.539924,2459
4,7,24207,23.47353,-104.396744,1404
4,8,24720,22.916333,-104.599662,1996
4,9,24370,23.228577,-104.447482,1383
4,10,24646,25.227777,-104.113803,1243
4,11,24336,23.848211,-104.244705,1730
5,1,25545,26.697064,-105.953554,2008
5,2,26250,26.400997,-105.387959,1687
5,3,26540,25.949324,-105.364866,1700
5,4,25369,25.058056,-106.245556,2301
5,5,25570,25.087767,-106.439348,2644
5,6,25875,25.034722,-106.216667,2380
5,7,27642,25.056233,-106.459733,1658
5,8,25490,24.993474,-106.501323,2615
5,9,27920,24.792509,-104.034267,1677
5,10,25616,23.975092,-104.044136,1907
5,11,25977,23.861412,-105.596688,1833
5,12,26662,23.170103,-104.955053,2593
5,13,26670,23.725527,-105.29364,2451
5,14,26406,23.845941,-105.433776,2556
5,15,25418,23.309155,-104.873682,2385
5,16,27739,23.275035,-105.307559,568
5,17,27449,23.778151,-105.360192,2548
5,18,25793,25.311796,-104.654705,1365
5,19,26506,25.180719,-104.560444,1344
5,20,26344,24.386107,-105.490712,2393
5,21,27579,23.684841,-105.785779,1601
5,22,26174,23.750289,-105.802109,1652
5,23,27527,24.48378,-106.172923,1696
5,24,27989,24.254799,-105.891319,1586
5,25,26095,23.761906,-105.741076,2712
5,26,25440,24.316938,-105.968924,2652
5,27,25903,24.102182,-105.931245,533
5,28,26719,24.630853,-102.782055,1522
5,29,27758,24.805379,-104.600804,1836
5,30,25311,25.03908,-105.420945,1730
5,31,25533,23.622163,-103.92187,1971
5,32,26887,24.946301,-106.867761,340
5,33,27944,25.468974,-106.928692,2360
5,34,27636,24.991647,-107.023478,281
5,35,27438,24.970316,-106.966602,246
5,36,27488,25.357063,-105.809989,1848
5,37,26615,25.380116,-105.747607,1821
5,38,26465,25.33336,-105.772553,1812
6,1,28307,25.343209,-105.723002,1800
6,2,28089,26.107386,-103.439236,1092
6,3,28450,25.227294,-106.736363,1264
6,4,28400,25.204687,-106.784628,838
6,5,28507,25.160601,-106.760719,949
6,6,28735,25.173431,-106.608253,894
6,7,28869,23.731111,-103.987778,1921
6,8,28750,25.00556,-104.941295,2019
6,9,28929,24.888313,-105.074205,1991
6,10,28979,24.870939,-103.698462,1585
7,1,30595,25.113621,-103.789744,1310
7,2,29387,24.100597,-104.572876,1863
7,3,30585,23.961403,-104.698092,1891
7,4,30197,24.044007,-104.340686,1845
7,5,29707,23.876958,-104.492235,1898
7,6,30943,23.960431,-104.661049,1881
7,7,29433,24.036497,-104.568311,1868
7,8,30370,24.237748,-104.714478,1898
7,9,30461,24.165056,-104.594821,1866
7,10,30953,23.503781,-104.825014,2629
7,11,30136,23.863611,-105.206389,2416
7,12,29130,23.91581,-105.142648,2440
7,13,29776,24.157325,-104.497487,1856
7,14,29846,23.985393,-104.61102,1871
7,15,30895,24.167992,-104.702836,1920
7,16,29980,23.791846,-104.487877,1990
7,17,30420,24.023988,-104.670194,1890
7,18,29655,25.693889,-103.437006,1115
7,19,30109,24.446433,-104.12366,2002
7,20,30360,24.318873,-104.079221,2027
7,21,29620,25.942545,-106.298116,2691
7,22,29856,26.040556,-106.375556,2752
7,23,29336,25.931662,-105.954432,2072
7,24,29441,26.129852,-105.934684,2371
7,25,29690,26.063381,-106.451854,2762
7,26,29873,26.128815,-106.333488,2717
7,27,29163,25.733976,-105.602291,2324
7,28,29395,20.4509,-101.528361,1709
7,29,29640,20.558266,-101.577358,1690
7,30,30125,20.416971,-101.432768,1718
7,31,29943,20.579602,-101.529135,1694
7,32,30605,20.497654,-101.566963,1680
